Collection ID,Image Link,Phylum (门),Order (目),Family (科),Genus (属),Scientific Name,Chinese Name,Identified By,Date Identified,Collector,Collection Number,Collection Date,Collection Location,Altitude,Habitat,Phenology
e6e74052,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334108,维管植物门,菊目,菊科,香青属,Anaphalis virens Chang,黄绿香青,张国进,20180517,PE西藏队,PE6547,20170912,中国 西藏自治区,3980,山坡,有花无果
e6e736ae,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334125,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6663,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73847,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334123,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6663,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73c8f,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334116,维管植物门,菊目,菊科,飞蓬属,Erigeron multiradiatus Benth. & Hook.f.,多舌飞蓬,张国进,20180401,PE西藏队,PE6612,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e741eb,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334105,维管植物门,菊目,菊科,香青属,Anaphalis virens Chang,黄绿香青,张国进,20180517,PE西藏队,PE6547,20170912,中国 西藏自治区,3980,山坡,有花无果
e6e738ce,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334121,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180401,PE西藏队,PE6657,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73af6,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334119,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6617,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e737c0,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334124,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6663,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73625,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334127,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE6673,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73fc9,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334110,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6591,20170913,中国 西藏自治区,4260,干旱山坡,有花无果
e6e7359d,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334129,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE6673,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73e2b,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334113,维管植物门,菊目,菊科,飞蓬属,Erigeron multiradiatus Benth. & Hook.f.,多舌飞蓬,张国进,20180401,PE西藏队,PE6612,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e742fc,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334104,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE6630,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73c07,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334115,维管植物门,菊目,菊科,飞蓬属,Erigeron multiradiatus Benth. & Hook.f.,多舌飞蓬,张国进,20180401,PE西藏队,PE6612,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73489,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334130,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE6673,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e739e8,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334120,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180401,PE西藏队,PE6657,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e74274,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334103,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE6630,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73738,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334126,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE6673,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73da0,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334112,维管植物门,菊目,菊科,飞蓬属,Erigeron multiradiatus Benth. & Hook.f.,多舌飞蓬,张国进,20180401,PE西藏队,PE6612,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73b7e,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334117,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6617,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73365,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334131,维管植物门,菊目,菊科,香青属,Anaphalis margaritacea Benth. & Hook.f.,珠光香青,张国进,20180401,PE西藏队,PE5838,20170903,中国 西藏自治区,3401,山坡,有花无果
e6e73d18,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334114,维管植物门,菊目,菊科,飞蓬属,Erigeron multiradiatus Benth. & Hook.f.,多舌飞蓬,张国进,20180401,PE西藏队,PE6612,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73eb9,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334111,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6591,20170913,中国 西藏自治区,4260,干旱山坡,有花无果
e6e74162,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334107,维管植物门,菊目,菊科,香青属,Anaphalis virens Chang,黄绿香青,张国进,20180517,PE西藏队,PE6547,20170912,中国 西藏自治区,3980,山坡,有花无果
e6e73f42,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334109,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6591,20170913,中国 西藏自治区,4260,干旱山坡,有花无果
e6e740da,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334106,维管植物门,菊目,菊科,香青属,Anaphalis virens Chang,黄绿香青,张国进,20180517,PE西藏队,PE6547,20170912,中国 西藏自治区,3980,山坡,有花无果
e6e73514,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334128,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE6673,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e7395a,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334122,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180401,PE西藏队,PE6657,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e73a6f,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334118,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6617,20170914,中国 西藏自治区,3934,路边山坡,有花无果
e6e74389,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334102,维管植物门,菊目,菊科,飞蓬属,Erigeron multiradiatus Benth. & Hook.f.,多舌飞蓬,张国进,20180401,PE西藏队,PE6529,20170912,中国 西藏自治区,3588,林下,有花无果
e6e74418,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334100,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6510,20170912,中国 西藏自治区,3588,林下,有花无果
e6e745b0,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334097,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6427,20170911,中国 西藏自治区,2969,山谷林下,有花无果
e6e74636,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334098,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6510,20170912,中国 西藏自治区,3588,林下,有花无果
e6e746be,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334096,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6427,20170911,中国 西藏自治区,2969,山谷林下,有花无果
e6e74528,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334099,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6510,20170912,中国 西藏自治区,3588,林下,有花无果
e6e74857,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334093,维管植物门,菊目,菊科,飞蓬属,Erigeron multiradiatus Benth. & Hook.f.,多舌飞蓬,张国进,20180401,PE西藏队,PE6421,20170911,中国 西藏自治区,2969,山谷林下,有花无果
e6e747cc,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334095,维管植物门,菊目,菊科,飞蓬属,Erigeron multiradiatus Benth. & Hook.f.,多舌飞蓬,张国进,20180401,PE西藏队,PE6421,20170911,中国 西藏自治区,2969,山谷林下,有花无果
e6e74745,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334094,维管植物门,菊目,菊科,飞蓬属,Erigeron multiradiatus Benth. & Hook.f.,多舌飞蓬,张国进,20180401,PE西藏队,PE6421,20170911,中国 西藏自治区,2969,山谷林下,有花无果
e6e744a0,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334101,维管植物门,菊目,菊科,飞蓬属,Erigeron multiradiatus Benth. & Hook.f.,多舌飞蓬,张国进,20180401,PE西藏队,PE6529,20170912,中国 西藏自治区,3588,林下,有花无果
e6e748e6,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334091,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6384,20170911,中国 西藏自治区,3120,山谷林下,有花无果
e6e74b8e,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334088,维管植物门,菊目,菊科,合耳菊属,Synotis erythropappa (Bur. & Fr.) C.Jeffrey & Y.L.Chen,红缨合耳菊,张国进,20180517,PE西藏队,PE6379,20170911,中国 西藏自治区,3120,山谷林下,有花无果
e6e74b04,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334087,维管植物门,菊目,菊科,合耳菊属,Synotis erythropappa (Bur. & Fr.) C.Jeffrey & Y.L.Chen,红缨合耳菊,张国进,20180517,PE西藏队,PE6379,20170911,中国 西藏自治区,3120,山谷林下,有花无果
e6e74c1f,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334086,维管植物门,菊目,菊科,合耳菊属,Synotis erythropappa (Bur. & Fr.) C.Jeffrey & Y.L.Chen,红缨合耳菊,张国进,20180517,PE西藏队,PE6379,20170911,中国 西藏自治区,3120,山谷林下,有花无果
e6e74caa,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334085,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE6354,20170911,中国 西藏自治区,3120,山谷林下,有花无果
e6e74d36,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334083,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE6354,20170911,中国 西藏自治区,3120,山谷林下,有花无果
e6e74e4d,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334082,维管植物门,菊目,菊科,飞蓬属,Erigeron annuus Sesse & Moc.,一年蓬,张国进,20180401,PE西藏队,PE6338,20170911,中国 西藏自治区,2445,山坡林下,有花无果
e6e7528d,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334075,维管植物门,菊目,菊科,飞蓬属,Erigeron multiradiatus Benth. & Hook.f.,多舌飞蓬,张国进,20180401,PE西藏队,PE6276,20170911,中国 西藏自治区,2445,山坡林下,有花无果
e6e74ed5,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334080,维管植物门,菊目,菊科,飞蓬属,Erigeron annuus Sesse & Moc.,一年蓬,张国进,20180401,PE西藏队,PE6338,20170911,中国 西藏自治区,2445,山坡林下,有花无果
e6e750f2,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334077,维管植物门,菊目,菊科,紫菀属,Aster ageratoides Turcz.,三脉紫菀,张国进,20180517,PE西藏队,PE6319,20170911,中国 西藏自治区,2445,山坡林下,有花无果
e6e74f5c,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334081,维管植物门,菊目,菊科,飞蓬属,Erigeron annuus Sesse & Moc.,一年蓬,张国进,20180401,PE西藏队,PE6338,20170911,中国 西藏自治区,2445,山坡林下,有花无果
e6e74fe3,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334078,维管植物门,菊目,菊科,紫菀属,Aster ageratoides Turcz.,三脉紫菀,张国进,20180517,PE西藏队,PE6319,20170911,中国 西藏自治区,2445,山坡林下,有花无果
e6e7506b,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334079,维管植物门,菊目,菊科,紫菀属,Aster ageratoides Turcz.,三脉紫菀,张国进,20180517,PE西藏队,PE6319,20170911,中国 西藏自治区,2445,山坡林下,有花无果
e6e75201,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334074,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6249,20170910,中国 西藏自治区,2488~3073,山坡林下,有花无果
e6e7531a,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334073,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6249,20170910,中国 西藏自治区,2488~3073,山坡林下,有花无果
e6e75179,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334076,维管植物门,菊目,菊科,飞蓬属,Erigeron multiradiatus Benth. & Hook.f.,多舌飞蓬,张国进,20180401,PE西藏队,PE6276,20170911,中国 西藏自治区,2445,山坡林下,有花无果
e6e749f5,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334090,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6384,20170911,中国 西藏自治区,3120,山谷林下,有花无果
e6e753a2,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334071,维管植物门,菊目,菊科,香青属,Anaphalis busua DC.,蛛毛香青,张国进,20180517,PE西藏队,PE6201,20170910,中国 西藏自治区,2488~2994,山坡林下,有花无果
e6e74dc4,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334084,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE6354,20170911,中国 西藏自治区,3120,山谷林下,有花无果
e6e7496e,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334092,维管植物门,菊目,菊科,飞蓬属,Erigeron multiradiatus Benth. & Hook.f.,多舌飞蓬,张国进,20180401,PE西藏队,PE6421,20170911,中国 西藏自治区,2969,山谷林下,有花无果
e6e74a7c,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334089,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6384,20170911,中国 西藏自治区,3120,山谷林下,有花无果
e6e7542a,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334072,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE6249,20170910,中国 西藏自治区,2488~3073,山坡林下,有花无果
e6e754b1,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334070,维管植物门,菊目,菊科,香青属,Anaphalis busua DC.,蛛毛香青,张国进,20180517,PE西藏队,PE6201,20170910,中国 西藏自治区,2488~2994,山坡林下,有花无果
e6e75539,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334068,维管植物门,菊目,菊科,香青属,Anaphalis margaritacea Benth. & Hook.f.,珠光香青,张国进,20180517,PE西藏队,PE6200,20170910,中国 西藏自治区,2488~2994,山坡林下,有花无果
e6e755c1,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334069,维管植物门,菊目,菊科,香青属,Anaphalis margaritacea Benth. & Hook.f.,珠光香青,张国进,20180517,PE西藏队,PE6200,20170910,中国 西藏自治区,2488~2994,山坡林下,有花无果
e6e75649,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334067,维管植物门,菊目,菊科,香青属,Anaphalis margaritacea Benth. & Hook.f.,珠光香青,张国进,20180517,PE西藏队,PE6200,20170910,中国 西藏自治区,2488~2994,山坡林下,有花无果
e6e756d2,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334066,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE5984,20170906,中国 西藏自治区,2935,山谷林缘,有花无果
e6e7575e,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334064,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE5984,20170906,中国 西藏自治区,2935,山谷林缘,有花无果
e6e757ec,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334065,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE5984,20170906,中国 西藏自治区,2935,山谷林缘,有花无果
e6e75882,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334063,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE5984,20170906,中国 西藏自治区,2935,山谷林缘,有花无果
e6e7590c,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334061,维管植物门,菊目,菊科,黏冠草属,Myriactis nepalensis Less.,圆舌粘冠草,张国进,20180401,PE西藏队,PE5976,20170906,中国 西藏自治区,2935,山谷林缘,有花无果
e6e75aa6,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334058,维管植物门,菊目,菊科,蒿属,Artemisia tainingensis Hand.-Mazz.,川藏蒿,张国进,20180517,PE西藏队,PE5973,20170905,中国 西藏自治区,4780,山坡,有花无果
e6e75bb8,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334057,维管植物门,菊目,菊科,蒿属,Artemisia tainingensis Hand.-Mazz.,川藏蒿,张国进,20180517,PE西藏队,PE5973,20170905,中国 西藏自治区,4780,山坡,有花无果
e6e75c40,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334055,维管植物门,菊目,菊科,紫菀属,Aster asteroides MacMillan,星舌紫菀,张国进,20180401,PE西藏队,PE5972,20170905,中国 西藏自治区,4780,山坡,有花无果
e6e75a1e,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334060,维管植物门,菊目,菊科,黏冠草属,Myriactis nepalensis Less.,圆舌粘冠草,张国进,20180401,PE西藏队,PE5976,20170906,中国 西藏自治区,2935,山谷林缘,有花无果
e6e75d5c,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334054,维管植物门,菊目,菊科,紫菀属,Aster asteroides MacMillan,星舌紫菀,张国进,20180401,PE西藏队,PE5972,20170905,中国 西藏自治区,4780,山坡,有花无果
e6e75b30,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334059,维管植物门,菊目,菊科,蒿属,Artemisia tainingensis Hand.-Mazz.,川藏蒿,张国进,20180517,PE西藏队,PE5973,20170905,中国 西藏自治区,4780,山坡,有花无果
e6e75de5,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334052,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE5910,20170905,中国 西藏自治区,3020~3460,林缘,有花无果
e6e75ccd,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334056,维管植物门,菊目,菊科,紫菀属,Aster asteroides MacMillan,星舌紫菀,张国进,20180401,PE西藏队,PE5972,20170905,中国 西藏自治区,4780,山坡,有花无果
e6e75996,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334062,维管植物门,菊目,菊科,黏冠草属,Myriactis nepalensis Less.,圆舌粘冠草,张国进,20180401,PE西藏队,PE5976,20170906,中国 西藏自治区,2935,山谷林缘,有花无果
e6e75f7e,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334050,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180517,PE西藏队,PE5881,20170905,中国 西藏自治区,3020~3480,林缘,有花无果
e6e75e6e,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334053,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE5910,20170905,中国 西藏自治区,3020~3460,林缘,有花无果
e6e7608c,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334047,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE5879,20170905,中国 西藏自治区,3020~3460,林缘,有花无果
e6e76114,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334048,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180517,PE西藏队,PE5881,20170905,中国 西藏自治区,3020~3480,林缘,有花无果
e6e76005,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334049,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180517,PE西藏队,PE5881,20170905,中国 西藏自治区,3020~3480,林缘,有花无果
e6e75ef6,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334051,维管植物门,菊目,菊科,紫菀属,Aster albescens (DC.) Wall.,小舌紫菀,张国进,20180401,PE西藏队,PE5910,20170905,中国 西藏自治区,3020~3460,林缘,有花无果
e6e7619f,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334045,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE5879,20170905,中国 西藏自治区,3020~3460,林缘,有花无果
e6e7622d,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=02334046,维管植物门,菊目,菊科,香青属,Anaphalis contorta Hook.f.,旋叶香青,张国进,20180517,PE西藏队,PE5879,20170905,中国 西藏自治区,3020~3460,林缘,有花无果
